"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","doJOZc","W4Efsd 7","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Boston+Medical+Group/data=!4m7!3m6!1s0x95bcca912342ada5:0xc2029676b41071a8!8m2!3d-34.597303!4d-58.387491!16s%2Fg%2F11f3tv0rj8!19sChIJpa1CI5HKvJURqHEQtHaWAsI?authuser=0&hl=es-419&rclk=1","Boston Medical Group","2.9","(18)","Doctor","·","1430 Marcelo Torcuato de Alvear","Cerrado","⋅ Abre a las 9 a.m.","·","011 2040-0911","https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwj96e_yg6-PAxXLZkgAHc5YF9sYABABGgJjZQ&co=1&ase=2&gclid=Cj0KCQjw_L_FBhDmARIsAItqgt6RraeYxffIjErndAAeT5FcEkqlE5-04VrN1sM615wTf9wohXXbAk0aAkQvEALw_wcB&ohost=www.google.com&cid=CAESuAHg9kxk-C5AMOVQ-QkOjf_iXrlAyjAq9VLrUw8-7hI3TklnO22b5uHOKVdtCQh-QyqsuxtIjN2JG5h1-V-s6Aiz__dLjabhFeWq7IAPhxn36N0c3sPTaVmqIi8hA12y5ziK4U7CAmebFOyfxjcwKBxi2DG3w6f_9r0Lu2-nB9hwqUrwjPw1YamOMDxfbM8tU5JS_eUwc8O-G7rEagnt9IaqYNU6WOPcStv2HPfhyyCLOubEGNB9U7vX&category=acrcp_v1_40&sig=AOD64_182kO5NtlN8rUO7B9A8ro79IAOvg&adurl&q&ctype=99&nis=6","","Sitio web","","Indicaciones","","","","","",""
"https://www.google.com/maps/place/CEMEDYT+-+Diagn%C3%B3stico+M%C3%A9dico/data=!4m7!3m6!1s0x95bcca9a2c0df8a7:0x7fe77a6f31681a9!8m2!3d-34.590698!4d-58.400408!16s%2Fg%2F11bz09tdtk!19sChIJp_gNLJrKvJURqYEW86Z3_gc?authuser=0&hl=es-419&rclk=1","CEMEDYT - Diagnóstico Médico","3.9","(91)","Centro médico de diagnóstico por imágenes","·","1773 Avenida Pueyrredón","Cerrado","⋅ Abre a las 8:30 a.m.","·","011 4824-4439","https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwj96e_yg6-PAxXLZkgAHc5YF9sYABACGgJjZQ&co=1&ase=2&gclid=Cj0KCQjw_L_FBhDmARIsAItqgt73s40mUFK66rbF3CNrwdre38o9aIOPmX0fkXeweE8h-2LE572NSawaAqDPEALw_wcB&ohost=www.google.com&cid=CAESuAHg9kxk-C5AMOVQ-QkOjf_iXrlAyjAq9VLrUw8-7hI3TklnO22b5uHOKVdtCQh-QyqsuxtIjN2JG5h1-V-s6Aiz__dLjabhFeWq7IAPhxn36N0c3sPTaVmqIi8hA12y5ziK4U7CAmebFOyfxjcwKBxi2DG3w6f_9r0Lu2-nB9hwqUrwjPw1YamOMDxfbM8tU5JS_eUwc8O-G7rEagnt9IaqYNU6WOPcStv2HPfhyyCLOubEGNB9U7vX&category=acrcp_v1_40&sig=AOD64_0_cQipHgV-eUN9-KvdcJqzkTmxJQ&adurl&q&ctype=99&nis=6","","Sitio web","","Indicaciones","","","","","",""
"https://www.google.com/maps/place/Consultorio+Clinica+Medica/data=!4m7!3m6!1s0x95bcb5803263fb59:0x265ac843f3159582!8m2!3d-34.5855408!4d-58.4182209!16s%2Fg%2F11c2rbwcjw!19sChIJWftjMoC1vJURgpUV80PIWiY?authuser=0&hl=es-419&rclk=1","Consultorio Clinica Medica","5.0","(3)","Médico","·","Güemes 4058","Cerrado","⋅ Abre a las 5 p.m.","·","011 4833-6485","","","Indicaciones","","","","","","","",""
"https://www.google.com/maps/place/Centro+M%C3%A9dico+Alas/data=!4m7!3m6!1s0x95bcca9217b0651b:0xe0c58cf3e821de04!8m2!3d-34.5999926!4d-58.4047859!16s%2Fg%2F11h0pb8ww!19sChIJG2WwF5LKvJURBN4h6POMxeA?authuser=0&hl=es-419&rclk=1","Centro Médico Alas","3.5","(492)","Centro médico","·","·","San Luis 2740","Cerrado","⋅ Abre a las 8 a.m.","011 4963-3434","http://www.centromedicoalas.com.ar/","","Sitio web","","Indicaciones","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excelente atención por parte de los","médico","que me atendieron."""
"https://www.google.com/maps/place/Dra.+Noemi+Ledesma,+M%C3%A9dico+general+y+familiar/data=!4m7!3m6!1s0x95bcb5a75b23cc2d:0x62f7bfcb0b78eb9d!8m2!3d-34.5863686!4d-58.4182587!16s%2Fg%2F11p0zj80bv!19sChIJLcwjW6e1vJURnet4C8u_92I?authuser=0&hl=es-419&rclk=1","Dra. Noemi Ledesma, Médico general y familiar","5.0","(3)","Médico de medicina general","·","·","Av. Raúl Scalabrini Ortiz 2356 3A","","","","https://www.doctoraliar.com/noemi-ledesma/medico-general-y-familiar/capital-federal?utm_source=google&utm_medium=gmb&utm_campaign=85830&utm_content=website","","Sitio web","","Indicaciones","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Super amorosa la","doctora","y muy buena profesional"""
"https://www.google.com/maps/place/M%C3%A9dico+Clinico+particular+Caba+Palermo+consultorio+privado+Dr+Leandro+Heffner/data=!4m7!3m6!1s0x95bcb50979e6e6b7:0x8f76b62c9b0203b6!8m2!3d-34.5836576!4d-58.4206226!16s%2Fg%2F11vxy415jl!19sChIJt-bmeQm1vJURtgMCmyy2do8?authuser=0&hl=es-419&rclk=1","Médico Clinico particular Caba Palermo consultorio privado Dr Leandro Heffner","5.0","(3)","Médico de familia","·","Güemes 4255","·","Cerrado","⋅ Abre a las 8 a.m.","011 15-6266-7956","https://equilibriomio.com.ar/medico-clinico/","","Sitio web","","Indicaciones","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Le agradezco su impecable dedicación!""","",""
"https://www.google.com/maps/place/Dr+Ricardo+A+Mackintosh+.+Cl%C3%ADnica+M%C3%A9dica+%2F+HIV/data=!4m7!3m6!1s0x95bcca99b1d17fcf:0xd81fdd7014b26910!8m2!3d-34.5903264!4d-58.3979439!16s%2Fg%2F1tg3c8sw!19sChIJz3_RsZnKvJUREGmyFHDdH9g?authuser=0&hl=es-419&rclk=1","Dr Ricardo A Mackintosh . Clínica Médica / HIV","5.0","(5)","Médico","·","Peña 2338","·","Cerrado","⋅ Abre a las 12 p.m.","011 4805-6666","http://docturno.com/","","Sitio web","","Indicaciones","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excelente profesional.""","",""
"https://www.google.com/maps/place/Centro+M%C3%A9dico+Pueyrred%C3%B3n/data=!4m7!3m6!1s0x95bcca90f05d26db:0x67d1392d545771d8!8m2!3d-34.595295!4d-58.402494!16s%2Fg%2F11btmqml4j!19sChIJ2yZd8JDKvJUR2HFXVC050Wc?authuser=0&hl=es-419&rclk=1","Centro Médico Pueyrredón","2.4","(171)","Centro médico","·","·","Av. Pueyrredón 1341","Cerrado","⋅ Abre a las 9 a.m.","011 4116-6000","https://www.cm-pueyrredon.com.ar/","","Sitio web","","Indicaciones","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Buenos lugares para analisis","clinicos",", y todo tipo de estudios"""
